867	ai	3	3
868	saggi	1	3
869	insulta	1	3
870	presente	1	3
871	conoscenza	1	3
872	civil	1	3
873	costume	1	3
874	sembra	2	3
875	avanzar	1	3
876	infelice	1	3
877	verso	1	3
878	finalmente	1	3
879	cor	1	3
880	m	1	3
881	assale	1	3
882	so	1	3
883	riso	1	3
884	pietà	2	3
885	prevale	1	3
886	cadendo	1	3
887	picciol	2	3
888	pomo	1	3
889	là	2	3
890	tardo	1	3
891	autunno	1	3
892	maturità	1	3
893	atterra	1	3
894	popol	1	3
895	formiche	1	3
896	dolci	1	3
897	alberghi	1	3
898	cavati	1	3
899	molle	1	3
900	gleba	1	3
901	lavoro	1	3
902	opre	1	3
903	ricchezze	1	3
904	adunate	1	3
905	prova	1	3
906	lungo	2	3
907	affaticar	1	3
908	assidua	1	3
909	avea	1	3
910	provvidamente	1	3
911	estivo	1	3
912	schiaccia	1	3
913	diserta	1	3
914	copre	1	3
915	piombando	1	3
916	utero	1	3
917	tonante	1	3
918	scagliata	1	3
919	profondo	1	3
920	pomici	1	3
921	sassi	1	3
922	infusa	1	3
923	bollenti	1	3
924	ruscelli	1	3
925	pel	1	3
926	montano	1	3
927	fianco	1	3
928	furiosa	1	3
929	tra	1	3
930	erba	1	3
931	liquefatti	1	3
932	massi	1	3
933	metalli	1	3
934	infocata	1	3
935	arena	1	3
936	scendendo	1	3
937	immensa	1	3
938	piena	1	3
939	cittadi	1	3
940	estremo	1	3
941	lido	1	3
942	aspergea	1	3
943	confuse	1	3
944	infranse	1	3
945	ricoperse	1	3
946	pochi	1	3
947	istanti	1	3
948	onde	1	3
949	pasce	1	3
950	capra	1	3
951	sorgon	1	3
952	banda	1	3
953	sgabello	1	3
954	sepolte	1	3
955	prostrate	1	3
956	mura	1	3
957	arduo	1	3
958	piè	1	3
959	calpesta	1	3
960	formica	1	3
961	rara	1	3
962	quello	1	3
963	nell	2	3
964	strage	2	3
965	avvien	1	3
966	ciò	1	3
967	altronde	1	3
968	fuor	1	3
969	prosapie	1	3
970	feconde	1	3
971	mille	1	3
972	ottocento	1	3
973	anni	1	3
974	varcàr	1	3
975	spariro	1	3
976	oppressi	1	3
977	popolati	1	3
978	seggi	1	3
979	villanello	1	3
980	intento	1	3
981	vigneti	1	3
982	stento	1	3
983	nutre	1	3
984	morta	1	3
985	zolla	1	3
986	incenerita	1	3
987	leva	1	3
988	sguardo	1	3
989	sospettoso	1	3
990	vetta	1	3
991	fatal	1	3
992	mai	2	3
993	fatta	1	3
994	mite	1	3
995	siede	1	3
996	tremenda	1	3
997	minaccia	2	3
998	figli	1	3
999	averi	1	3
1000	poverelli	1	3
1001	spesso	1	3
1002	meschino	1	3
1003	tetto	1	3
1004	ostel	1	3
1005	villereccio	1	3
1006	vagante	1	3
1007	giacendo	1	3
1008	tutta	1	3
1009	insonne	1	3
1010	balzando	1	3
1011	esplora	1	3
1012	corso	1	3
1013	temuto	1	3
1014	bollor	1	3
1015	riversa	1	3
1016	inesausto	1	3
1017	grembo	1	3
1018	sull	1	3
1019	arenoso	1	3
1020	dorso	1	3
1021	riluce	1	3
1022	capri	1	3
1023	marina	1	3
1024	napoli	1	3
1025	porto	1	3
1026	mergellina	1	3
1027	appressar	1	3
1028	vede	3	3
1029	cupo	1	3
1030	domestico	1	3
1031	pozzo	1	3
1032	ode	1	3
1033	acqua	1	3
1034	fervendo	1	3
1035	gorgogliar	1	3
1036	desta	2	3
1037	figliuoli	1	3
1038	moglie	1	3
1039	fretta	1	3
1040	via	1	3
1041	rapir	1	3
1042	posson	1	3
1043	fuggendo	1	3
1044	lontano	1	3
1045	usato	1	3
1046	nido	1	3
1047	dalla	1	3
1048	fame	1	3
1049	unico	1	3
1050	schermo	1	3
1051	preda	1	3
1052	rovente	1	3
1053	crepitando	1	3
1054	giunge	1	3
1055	inesorato	1	3
1056	durabilmente	1	3
1057	sovra	1	3
1058	quei	1	3
1059	spiega	1	3
1060	celeste	1	3
1061	raggio	1	3
1062	dopo	2	3
1063	antica	1	3
1064	obblivion	1	3
1065	estinta	1	3
1066	pompei	1	3
1067	sepolto	1	3
1068	scheletro	1	3
1069	avarizia	1	3
1070	rende	1	3
1071	foro	1	3
1072	diritto	1	3
1073	file	1	3
1074	mozzi	1	3
1075	colonnati	1	3
1076	peregrino	1	3
1077	lunge	1	3
1078	contempla	1	3
1079	bipartito	1	3
1080	giogo	1	3
1081	cresta	1	3
1082	fumante	1	3
1083	sparsa	1	3
1084	secreta	1	3
1085	li	2	3
1086	vacui	1	3
1087	teatri	1	3
1088	templi	1	3
1089	deformi	1	3
1090	rotte	1	3
1091	case	1	3
1092	parti	1	3
1093	pipistrello	1	3
1094	asconde	1	3
1095	sinistra	1	3
1096	face	1	3
1097	voti	1	3
1098	atra	1	3
1099	aggiri	1	3
1100	corre	1	3
1101	baglior	1	3
1102	funerea	1	3
1103	ombre	1	3
1104	rosseggia	1	3
1105	tinge	1	3
1106	ignara	1	3
1107	etadi	1	3
1108	antiche	1	3
1109	seguir	1	3
1110	fanno	1	3
1111	avi	1	3
1112	nepoti	1	3
1113	sta	1	3
1114	verde	1	3
1115	anzi	1	3
1116	procede	1	3
1117	cammino	1	3
1118	caggiono	1	3
1119	regni	1	3
1120	intanto	1	3
1121	passan	1	3
1122	genti	1	3
1123	linguaggi	1	3
1124	ella	1	3
1125	nol	1	3
1126	eternità	1	3
1127	arroga	1	3
1128	vanto	1	3
1129	lenta	1	3
1130	selve	1	3
1131	odorate	1	3
1132	campagne	1	3
